time,hr,hrv,spo2,respRate,hrSuccess,spo2Success
2026-07-01T00:00:00.000Z,59,67,93,120,true,true
2026-07-01T00:02:30.000Z,18,0,18,0,false,false
2026-07-01T00:05:00.000Z,57,65,18,0,true,false
2026-07-01T00:07:30.000Z,18,0,18,0,false,false
2026-07-01T00:10:00.000Z,57,54,18,0,true,false
2026-07-01T00:12:30.000Z,18,0,18,0,false,false
2026-07-01T00:15:00.000Z,57,95,95,131,true,true
2026-07-01T00:17:30.000Z,18,0,18,0,false,false
2026-07-01T00:20:00.000Z,60,44,18,0,true,false
2026-07-01T00:22:30.000Z,18,0,18,0,false,false
2026-07-01T00:25:00.000Z,61,67,18,0,true,false
2026-07-01T00:27:30.000Z,18,0,18,0,false,false
2026-07-01T00:30:00.000Z,57,41,97,123,true,true
2026-07-01T00:32:30.000Z,18,0,18,0,false,false
2026-07-01T00:35:00.000Z,59,59,18,0,true,false
2026-07-01T00:37:30.000Z,18,0,18,0,false,false
2026-07-01T00:40:00.000Z,57,90,18,0,true,false
2026-07-01T00:42:30.000Z,18,0,18,0,false,false
2026-07-01T00:45:00.000Z,55,80,96,121,true,true
2026-07-01T00:47:30.000Z,18,0,18,0,false,false
2026-07-01T00:50:00.000Z,18,0,18,0,false,false
2026-07-01T00:52:30.000Z,18,0,18,0,false,false
2026-07-01T00:55:00.000Z,58,40,18,0,true,false
2026-07-01T00:57:30.000Z,18,0,18,0,false,false
2026-07-01T01:00:00.000Z,56,63,94,117,true,true
2026-07-01T01:02:30.000Z,18,0,18,0,false,false
2026-07-01T01:05:00.000Z,57,46,18,0,true,false
2026-07-01T01:07:30.000Z,18,0,18,0,false,false
2026-07-01T01:10:00.000Z,55,58,18,0,true,false
2026-07-01T01:12:30.000Z,18,0,18,0,false,false
2026-07-01T01:15:00.000Z,62,48,95,125,true,true
2026-07-01T01:17:30.000Z,18,0,18,0,false,false
2026-07-01T01:20:00.000Z,58,72,18,0,true,false
2026-07-01T01:22:30.000Z,18,0,18,0,false,false
2026-07-01T01:25:00.000Z,63,61,18,0,true,false
2026-07-01T01:27:30.000Z,18,0,18,0,false,false
2026-07-01T01:30:00.000Z,56,86,96,119,true,true
2026-07-01T01:32:30.000Z,18,0,18,0,false,false
2026-07-01T01:35:00.000Z,57,71,18,0,true,false
2026-07-01T01:37:30.000Z,18,0,18,0,false,false
2026-07-01T01:40:00.000Z,61,62,18,0,true,false
2026-07-01T01:42:30.000Z,18,0,18,0,false,false
2026-07-01T01:45:00.000Z,57,70,96,126,true,true
2026-07-01T01:47:30.000Z,18,0,18,0,false,false
2026-07-01T01:50:00.000Z,61,40,18,0,true,false
2026-07-01T01:52:30.000Z,18,0,18,0,false,false
2026-07-01T01:55:00.000Z,57,54,18,0,true,false
2026-07-01T01:57:30.000Z,18,0,18,0,false,false
2026-07-01T02:00:00.000Z,59,65,96,116,true,true
2026-07-01T02:02:30.000Z,18,0,18,0,false,false
2026-07-01T02:05:00.000Z,57,54,18,0,true,false
2026-07-01T02:07:30.000Z,18,0,18,0,false,false
2026-07-01T02:10:00.000Z,54,65,18,0,true,false
2026-07-01T02:12:30.000Z,18,0,18,0,false,false
2026-07-01T02:15:00.000Z,56,70,96,119,true,true
2026-07-01T02:17:30.000Z,18,0,18,0,false,false
2026-07-01T02:20:00.000Z,57,54,18,0,true,false
2026-07-01T02:22:30.000Z,18,0,18,0,false,false
2026-07-01T02:25:00.000Z,56,67,18,0,true,false
2026-07-01T02:27:30.000Z,18,0,18,0,false,false
2026-07-01T02:30:00.000Z,58,67,96,122,true,true
2026-07-01T02:32:30.000Z,18,0,18,0,false,false
2026-07-01T02:35:00.000Z,58,50,18,0,true,false
2026-07-01T02:37:30.000Z,18,0,18,0,false,false
2026-07-01T02:40:00.000Z,58,49,18,0,true,false
2026-07-01T02:42:30.000Z,18,0,18,0,false,false
2026-07-01T02:45:00.000Z,61,44,96,120,true,true
2026-07-01T02:47:30.000Z,18,0,18,0,false,false
2026-07-01T02:50:00.000Z,57,57,18,0,true,false
2026-07-01T02:52:30.000Z,18,0,18,0,false,false
2026-07-01T02:55:00.000Z,58,86,18,0,true,false
2026-07-01T02:57:30.000Z,18,0,18,0,false,false
2026-07-01T03:00:00.000Z,55,64,96,116,true,true
2026-07-01T03:02:30.000Z,18,0,18,0,false,false
2026-07-01T03:05:00.000Z,60,68,18,0,true,false
2026-07-01T03:07:30.000Z,18,0,18,0,false,false
2026-07-01T03:10:00.000Z,18,0,18,0,false,false
2026-07-01T03:12:30.000Z,18,0,18,0,false,false
2026-07-01T03:15:00.000Z,58,44,94,121,true,true
2026-07-01T03:17:30.000Z,18,0,18,0,false,false
2026-07-01T03:20:00.000Z,58,50,18,0,true,false
2026-07-01T03:22:30.000Z,18,0,18,0,false,false
2026-07-01T03:25:00.000Z,57,71,18,0,true,false
2026-07-01T03:27:30.000Z,18,0,18,0,false,false
2026-07-01T03:30:00.000Z,61,48,97,118,true,true
2026-07-01T03:32:30.000Z,18,0,18,0,false,false
2026-07-01T03:35:00.000Z,57,75,18,0,true,false
2026-07-01T03:37:30.000Z,18,0,18,0,false,false
2026-07-01T03:40:00.000Z,55,64,18,0,true,false
2026-07-01T03:42:30.000Z,18,0,18,0,false,false
2026-07-01T03:45:00.000Z,58,69,92,114,true,true
2026-07-01T03:47:30.000Z,18,0,18,0,false,false
2026-07-01T03:50:00.000Z,58,73,18,0,true,false
2026-07-01T03:52:30.000Z,18,0,18,0,false,false
2026-07-01T03:55:00.000Z,58,58,18,0,true,false
2026-07-01T03:57:30.000Z,18,0,18,0,false,false
2026-07-01T04:00:00.000Z,58,60,96,115,true,true
2026-07-01T04:02:30.000Z,18,0,18,0,false,false
2026-07-01T04:05:00.000Z,63,61,18,0,true,false
2026-07-01T04:07:30.000Z,18,0,18,0,false,false
2026-07-01T04:10:00.000Z,59,61,18,0,true,false
2026-07-01T04:12:30.000Z,18,0,18,0,false,false
2026-07-01T04:15:00.000Z,61,47,95,120,true,true
2026-07-01T04:17:30.000Z,18,0,18,0,false,false
2026-07-01T04:20:00.000Z,57,56,18,0,true,false
2026-07-01T04:22:30.000Z,18,0,18,0,false,false
2026-07-01T04:25:00.000Z,59,66,18,0,true,false
2026-07-01T04:27:30.000Z,18,0,18,0,false,false
2026-07-01T04:30:00.000Z,62,88,95,108,true,true
2026-07-01T04:32:30.000Z,18,0,18,0,false,false
2026-07-01T04:35:00.000Z,57,36,18,0,true,false
2026-07-01T04:37:30.000Z,18,0,18,0,false,false
2026-07-01T04:40:00.000Z,61,64,18,0,true,false
2026-07-01T04:42:30.000Z,18,0,18,0,false,false
2026-07-01T04:45:00.000Z,58,61,94,118,true,true
2026-07-01T04:47:30.000Z,18,0,18,0,false,false
2026-07-01T04:50:00.000Z,60,54,18,0,true,false
2026-07-01T04:52:30.000Z,18,0,18,0,false,false
2026-07-01T04:55:00.000Z,18,0,18,0,false,false
2026-07-01T04:57:30.000Z,18,0,18,0,false,false
2026-07-01T05:00:00.000Z,56,87,95,119,true,true
2026-07-01T05:02:30.000Z,18,0,18,0,false,false
2026-07-01T05:05:00.000Z,57,52,18,0,true,false
2026-07-01T05:07:30.000Z,18,0,18,0,false,false
2026-07-01T05:10:00.000Z,60,46,18,0,true,false
2026-07-01T05:12:30.000Z,18,0,18,0,false,false
2026-07-01T05:15:00.000Z,57,63,96,122,true,true
2026-07-01T05:17:30.000Z,18,0,18,0,false,false
2026-07-01T05:20:00.000Z,56,64,18,0,true,false
2026-07-01T05:22:30.000Z,18,0,18,0,false,false
2026-07-01T05:25:00.000Z,58,56,18,0,true,false
2026-07-01T05:27:30.000Z,18,0,18,0,false,false
2026-07-01T05:30:00.000Z,56,56,95,118,true,true
