time,batteryPercent,steps,activeSeconds,temperaturesC
2026-07-01T00:00:00.000Z,91,10,11,34.5;34.3;33.9;34.3;34.2;34.6;34.3;34.8;34.2;34.2;34.1;34.7;33.5;34.2;34.8
2026-07-01T00:15:00.000Z,90,0,0,34.3;34.2;34.5;34.5;34.2;34.1;35.1;34.2;34.1;33.8;34.8;33.9;34.0;34.4;33.7
2026-07-01T00:30:00.000Z,89,0,0,33.9;33.9;34.8;33.6;34.5;34.4;34.8;33.5;34.3;34.6;34.2;34.3;34.4;33.7;34.2
2026-07-01T00:45:00.000Z,88,10,24,34.4;34.4;34.5;34.4;34.4;33.9;34.0;33.4;34.1;34.3;33.9;34.1;34.6;34.6;34.2
2026-07-01T01:00:00.000Z,87,12,28,34.3;34.1;34.5;33.8;34.4;34.3;34.0;34.4;34.0;34.6;33.5;33.8;34.0;34.2;34.3
2026-07-01T01:15:00.000Z,87,0,0,34.4;34.4;34.3;34.1;34.9;34.3;33.8;33.9;33.5;34.0;34.0;34.3;34.5;34.3;34.2
2026-07-01T01:30:00.000Z,86,3,7,34.0;34.3;34.1;33.8;34.2;33.8;33.4;33.8;34.5;34.4;33.9;34.8;34.6;33.2;34.1
2026-07-01T01:45:00.000Z,85,1,22,34.4;33.8;34.4;34.1;34.3;33.8;34.3;35.0;34.1;34.0;34.3;33.7;34.8;34.2;34.3
2026-07-01T02:00:00.000Z,84,0,0,34.4;34.5;34.8;34.5;34.0;34.4;33.9;34.0;34.1;34.3;34.3;33.9;34.3;34.1;34.4
2026-07-01T02:15:00.000Z,83,0,0,33.7;34.1;34.2;33.9;34.5;34.1;34.1;33.9;33.8;34.2;33.9;33.7;34.0;34.4;34.5
2026-07-01T02:30:00.000Z,82,0,0,34.1;34.0;34.9;33.9;34.2;33.4;34.1;34.1;34.2;33.9;34.4;34.6;33.9;33.9;33.8
2026-07-01T02:45:00.000Z,81,0,0,33.4;34.0;34.0;34.2;34.4;34.2;34.2;34.1;34.2;34.4;33.9;34.5;33.5;34.4;34.1
2026-07-01T03:00:00.000Z,80,7,16,35.1;33.9;34.7;34.3;33.9;33.9;34.4;34.1;33.9;34.5;33.8;34.4;34.8;34.6;34.1
2026-07-01T03:15:00.000Z,79,0,0,34.0;34.5;33.4;34.0;34.2;33.7;34.6;34.1;33.8;34.0;33.7;34.1;34.5;33.7;33.7
2026-07-01T03:30:00.000Z,78,0,0,33.7;34.5;33.5;33.8;34.4;34.0;34.1;33.7;34.5;34.0;34.1;34.4;33.7;33.8;34.1
2026-07-01T03:45:00.000Z,78,10,35,34.2;34.3;33.7;34.1;34.7;33.5;34.0;34.1;33.2;34.0;34.0;34.3;34.1;34.0;33.3
2026-07-01T04:00:00.000Z,77,0,0,34.5;33.8;34.5;34.0;33.9;34.3;35.0;34.6;34.2;35.0;34.5;34.2;34.4;34.7;34.3
2026-07-01T04:15:00.000Z,76,0,0,34.8;34.4;34.1;34.7;34.8;34.2;34.3;34.3;33.8;34.0;34.2;34.4;33.9;34.4;33.7
2026-07-01T04:30:00.000Z,75,0,0,34.2;34.5;34.3;34.3;33.9;34.0;33.9;34.4;35.3;33.7;34.2;34.2;34.2;34.3;34.8
2026-07-01T04:45:00.000Z,74,0,0,34.7;34.8;34.7;33.7;34.5;34.6;34.2;34.5;34.0;34.2;34.3;34.3;34.6;34.0;34.0
