time,hr,hrv,spo2,respRate,n_valid_hr,steps,activeSeconds,batteryPercent,tempC_mean,stress_index,stress_index_smooth,state,state_label,hour_of_day,date
2026-07-01 00:00:00+00:00,58.5,65.33333333333333,94.0,125.5,6,10,11,90.5,34.28,0.4335185185185185,0.4135925925925926,calm,平静,8,2026-07-01
2026-07-01 00:30:00+00:00,57.2,62.0,96.5,122.0,5,10,24,88.5,34.21000000000001,0.3936666666666667,0.428320987654321,calm,平静,8,2026-07-01
2026-07-01 01:00:00+00:00,58.5,58.0,94.5,121.0,6,12,28,87.0,34.17,0.45777777777777773,0.42212037037037037,calm,平静,9,2026-07-01
2026-07-01 01:30:00+00:00,58.166666666666664,63.833333333333336,96.0,122.5,6,4,29,85.5,34.14666666666666,0.4035185185185185,0.41193518518518524,calm,平静,9,2026-07-01
2026-07-01 02:00:00+00:00,56.5,62.5,96.0,117.5,6,0,0,83.5,34.163333333333334,0.3927777777777778,0.4203703703703704,calm,平静,10,2026-07-01
2026-07-01 02:30:00+00:00,58.333333333333336,58.833333333333336,96.0,121.0,6,0,0,81.5,34.096666666666664,0.42740740740740746,0.41448148148148145,calm,平静,10,2026-07-01
2026-07-01 03:00:00+00:00,57.6,59.4,95.0,118.5,5,7,16,79.5,34.14666666666666,0.4342222222222222,0.4191574074074074,calm,平静,11,2026-07-01
2026-07-01 03:30:00+00:00,57.833333333333336,64.5,94.5,116.0,6,10,35,78.0,33.99333333333334,0.4222222222222223,0.43318518518518523,calm,平静,11,2026-07-01
2026-07-01 04:00:00+00:00,59.5,58.5,95.5,117.5,6,0,0,76.5,34.33,0.4488888888888889,0.4406388888888889,calm,平静,12,2026-07-01
2026-07-01 04:30:00+00:00,59.6,60.6,94.5,113.0,5,0,0,74.5,34.31,0.4572222222222222,0.43574074074074076,calm,平静,12,2026-07-01
2026-07-01 05:00:00+00:00,57.333333333333336,61.333333333333336,95.5,120.5,6,10,8,72.5,34.21666666666667,0.4146296296296297,0.43671296296296297,calm,平静,13,2026-07-01
2026-07-01 05:30:00+00:00,58.166666666666664,62.5,95.0,117.5,6,3,4,70.5,34.16,0.4261111111111111,0.43805555555555553,calm,平静,13,2026-07-01
2026-07-01 06:00:00+00:00,57.5,54.666666666666664,95.0,123.5,6,0,0,69.0,34.24666666666667,0.45425925925925925,0.42638888888888893,calm,平静,14,2026-07-01
2026-07-01 06:30:00+00:00,57.333333333333336,58.5,96.5,123.5,6,0,0,67.5,34.14333333333333,0.41055555555555556,0.4688888888888889,calm,平静,14,2026-07-01
2026-07-01 07:00:00+00:00,71.0,53.833333333333336,95.5,122.5,6,12,38,65.5,33.24666666666667,0.5846296296296297,0.5320370370370371,calm,平静,15,2026-07-01
2026-07-01 07:30:00+00:00,75.83333333333333,41.666666666666664,96.0,129.5,6,1007,877,63.5,33.133333333333326,0.6787037037037037,0.5861574074074074,active,活跃/运动,15,2026-07-01
2026-07-01 08:00:00+00:00,73.66666666666667,42.333333333333336,95.0,130.5,6,28,105,61.5,33.22666666666667,0.6707407407407409,0.6434722222222223,stressed,压力偏高,16,2026-07-01
2026-07-01 08:30:00+00:00,74.5,43.666666666666664,97.0,127.5,6,22,41,60.0,33.120000000000005,0.6398148148148148,0.6595833333333334,stressed,压力偏高,16,2026-07-01
2026-07-01 09:00:00+00:00,74.5,45.333333333333336,96.0,129.0,6,360,172,58.5,33.28,0.6490740740740741,0.6745833333333333,active,活跃/运动,17,2026-07-01
2026-07-01 09:30:00+00:00,82.66666666666667,41.666666666666664,96.5,130.0,6,1194,905,56.5,33.256666666666675,0.7387037037037038,0.7140740740740741,active,活跃/运动,17,2026-07-01
2026-07-01 10:00:00+00:00,86.16666666666667,38.666666666666664,94.0,124.0,6,74,118,54.5,33.11333333333333,0.8287037037037037,0.731111111111111,stressed,压力偏高,18,2026-07-01
2026-07-01 10:30:00+00:00,81.33333333333333,41.833333333333336,97.5,132.5,6,62,22,52.5,33.21,0.7079629629629629,0.7447222222222222,stressed,压力偏高,18,2026-07-01
2026-07-01 11:00:00+00:00,78.5,38.333333333333336,97.0,132.0,6,1347,429,51.0,33.120000000000005,0.7035185185185185,0.7419351851851852,active,活跃/运动,19,2026-07-01
